Name,Breed,Gender
Abby Cadabby,Dog - Bull Terrier (short coat),Female
Adrienne,Dog - Boxer / Mixed (short coat),Male
Alice,Dog - Hound / Shepherd / Mixed (short coat),Female
Ariana Grande,Dog - German Shepherd Dog / Mixed (medium coat),Female
Aurora,Dog - Great Pyrenees / Mixed (long coat),Female
Beau,Dog - American Pit Bull Terrier / Hound / Mixed (short coat),Male
Blanche,Dog - Labrador Retriever / Mixed (short coat),Female
Bosco,Dog - Cockapoo / Mixed (long coat),Male
Burton,Dog - Terrier / Mixed (short coat),Male
Caboose,Dog - Bull Terrier (short coat),Male
Cashy Boy,Dog - German Shepherd Dog / Mixed (medium coat),Male
Chance,Dog - American Bulldog / Mixed (short coat),Male
Chase Green,Dog - Terrier / Mixed (short coat),Male
Crew,Dog - Havanese / Bichon Frise / Mixed,Male
Crocky,Dog - Labrador Retriever / Pit Bull Terrier / Mixed (medium coat),Male
Danica Patrick,Dog - Boxer / Australian Shepherd / Mixed (short coat),Female
Darby,Dog - Labrador Retriever / Mixed (short coat),Male
Deli,Dog - Boxer / Beagle / Mixed (short coat),Female
Dexter,Dog - Pit Bull Terrier / Mixed (short coat),Male
Dollar,Dog - Chihuahua,Female
Eichel,Dog - Boxer / Australian Shepherd / Mixed (short coat),Male
Esme,Dog - Hound / Mixed (short coat),Female
Esther,Dog - Boxer / American Pit Bull Terrier / Mixed (short coat),Female
Faksa,Dog - Unknown breed (short coat),Female
Floki,Dog - Shar Pei / Labrador Retriever / Mixed (short coat),Male
Gia,Dog - Rottweiler / Mixed (short coat),Female
Gideon,Dog - Labrador Retriever / Mixed (medium coat),Male
Gladys,Dog - Coonhound / Hound / Mixed (short coat),Female
Gloria,Dog - Boxer / Beagle / Mixed (short coat),Female
Hank,Dog - Chihuahua / Mixed (short coat),Male
Henry,Dog - Labrador Retriever / American Pit Bull Terrier / Mixed,Male
Ink,Dog - Australian Cattle Dog/Blue Heeler / Mixed (medium coat),Male
Jade,Dog - Black Mouth Cur / Beagle / Mixed (medium coat),Male
Janice Joplin,Dog - Chihuahua / Terrier / Mixed (short coat),Female
Jasmine,Dog - Hound / Mixed (short coat),Female
Jeri,Dog - Terrier / Mixed (short coat),Female
Jett,Dog - Labrador Retriever / Mixed (short coat),Female
Leo,Dog - Terrier / Mixed (short coat),Male
Lily Jo,Dog - Australian Shepherd / Bulldog / Mixed (long coat),Female
Loki,Dog - Hound / Mixed (short coat),Male
Lovemuffin,Dog - Hound / Mixed,Male
Lynx,Dog - Labrador Retriever / Terrier / Mixed (short coat),Male
Margaret,Dog - Great Pyrenees / Mixed (medium coat),Female
Mary,Dog - Great Pyrenees / Mixed (long coat),Female
Miesler,Dog - Boxer / Australian Shepherd / Mixed (short coat),Female
Miles,Dog - Black Mouth Cur / Shepherd / Mixed (short coat),Male
Miya,Dog - Shiba Inu (short coat),Female
Money Penny,Dog - Chihuahua / Mixed (short coat),Female
Mr. Bean,Dog - Terrier / Mixed (short coat),Male
Nala,Dog - Plott Hound / Mixed (short coat),Female
Nash Bridges,Dog - Boxer / Beagle / Mixed (short coat),Male
Neo,Dog - Husky (medium coat),Male
Palmer,Dog - Unknown breed (short coat),Male
"PIERRE  ""Lover Boy!""",Dog - Poodle (Miniature) / Mixed (medium coat),Male
Prim,Dog - Pit Bull Terrier / Mixed (short coat),Female
Quinsey,Dog - Border Collie / Mixed (short coat),Male
"Radar ""Vegas""",Dog - Labrador Retriever / Mixed (medium coat),Male
Rolo,Dog - Hound / Mixed (short coat),Male
Roman,Dog - Basset Hound / Mixed (short coat),Male
Rosanna,Dog - Australian Cattle Dog/Blue Heeler / Mixed (medium coat),Female
Rubia,Dog - Shepherd / Labrador Retriever / Mixed (medium coat),Female
Sapphire,Dog - Black Mouth Cur / Mixed (medium coat),Female
Sawyer,Dog - Treeing Walker Coonhound / Mixed (short coat),Male
Seren Sadie,Dog - German Shepherd Dog / Chow Chow / Mixed (medium coat),Female
Sherman,Dog - German Shepherd Dog (medium coat),Male
Sophie Sue,Dog - American Pit Bull Terrier / Mixed (short coat),Female
Sparkles,Dog - Terrier / American Staffordshire Terrier / Mixed (short coat),Female
Tashi,Dog - Unknown breed (short coat),Female
Teddy,Dog - Siberian Husky / Mixed (short coat),Male
Teresa,Dog - Terrier / Mixed (medium coat),Female
Theo,Dog - Australian Cattle Dog/Blue Heeler / Mixed (short coat),Male
Tillie,Dog - Australian Cattle Dog/Blue Heeler / Mixed (short coat),Female
Todd,Dog - Great Pyrenees / Mixed (medium coat),Male
Twilight,Dog - Australian Cattle Dog/Blue Heeler / Mixed (short coat),Male
